movie,genres
Super Troopers (2001),"['Comedy', 'Crime', 'Mystery']"
Police Academy  (1984),"['Comedy', 'Crime']"
American Pie ,"['Comedy', 'Romance']"
American Pie  (1999),"['Comedy', 'Romance']"
Police Academy 2: Their First Assignment (1985),"['Comedy', 'Crime']"
Lethal Weapon (1987),"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
Beverly Hills Cop (1984),"['Action', 'Comedy', 'Crime']"
48 Hrs. (1982),"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']"
A Nightmare on Elm Street (1984),['Horror']
Happy Death Day  (2017),"['Horror', 'Mystery', 'Comedy', 'Thriller']"
The Last House on the Left  (1972),"['Horror', 'Thriller']"
A Quiet Place (2018),"['Horror', 'Drama', 'Science Fiction']"
Annabelle  (2014),['Horror']
The Forest  (2016),"['Horror', 'Thriller', 'Mystery']"
Hot Tub Time Machine,"['Science Fiction', 'Comedy', 'Adventure']"
Identity Thief (2013),"['Comedy', 'Crime']"
The Heat  (2013),"['Action', 'Comedy', 'Crime']"
Easy A (2010),['Comedy']
Avengers: Infinity War (2018),"['Adventure', 'Action', 'Science Fiction']"
The Black Panthers: Vanguard of the Revolution (2015),['Documentary']
Click  (2006),"['Comedy', 'Drama', 'Fantasy']"
It  (2017),['Horror']
The Waterboy (1998),['Comedy']
The Avengers  (2012),"['Science Fiction', 'Action', 'Adventure']"
Iron Man 2 (2010),"['Adventure', 'Action', 'Science Fiction']"
Cabin by the Lake (2000),"['Horror', 'TV Movie']"
Ant-Man  (2015),"['Science Fiction', 'Action', 'Adventure']"
Spider-Man  (2002),"['Action', 'Science Fiction']"
X-Men: First Class (2011),"['Action', 'Science Fiction', 'Adventure']"
Iron Man  (2008),"['Action', 'Science Fiction', 'Adventure']"
X-Men: The Last Stand (2006),"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
It (1990),['Horror']
The Exorcist  (1973),"['Horror', 'Thriller', 'Drama']"
The Last Exorcism (2010),"['Horror', 'Thriller', 'Mystery']"
The Mask (1988),"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Son of the Mask (2005),"['Fantasy', 'Comedy', 'Family', 'Adventure']"
You Don't Mess with the Zohan (2008),"['Comedy', 'Action']"
Spider-Man 3 (2007),"['Action', 'Adventure', 'Science Fiction']"
Spider-Man: Homecoming (2017),"['Action', 'Adventure', 'Science Fiction', 'Drama']"
The Big Lebowski,"['Comedy', 'Crime']"
Click  (2010),"['Horror', 'Mystery', 'Thriller']"
House of 1000 Corpses (2003),"['Horror', 'Comedy']"
Blazing Saddles (1974),"['Western', 'Comedy']"
The Conjuring (2013),"['Horror', 'Thriller']"
Jason X (2001),"['Horror', 'Science Fiction']"
Paranormal Activity (2007),"['Horror', 'Mystery']"
Paranormal Activity 2 (2010),"['Horror', 'Mystery']"
Billy Madison (1995),['Comedy']
Friday the 13th  (1980),['Horror']
Alice in Wonderland  (2010),"['Family', 'Fantasy', 'Adventure']"
The Astronaut's Wife (1999),"['Drama', 'Science Fiction', 'Thriller']"
Secret Window (2004),"['Mystery', 'Thriller']"
The Last House on the Left  (2009),"['Crime', 'Thriller', 'Horror', 'Drama']"
House at the End of the Street (2012),"['Horror', 'Thriller']"
Uncle Buck,"['Comedy', 'Drama', 'Family']"
Death at a Funeral  (2007),"['Comedy', 'Drama']"
Annihilation  (2018),"['Science Fiction', 'Horror']"
Miami Connection (1987),"['Action', 'Crime', 'Music']"
Troll 2 (1990),"['Horror', 'Fantasy']"
Jennifer's Body (2009),"['Horror', 'Comedy']"
Scary Movie (2000),['Comedy']
The Sixth Sense (1999),"['Mystery', 'Thriller', 'Drama']"
Black Panther (2018),"['Action', 'Adventure', 'Science Fiction']"
The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
Die Hard (1988),"['Action', 'Thriller']"
2001: A Space Odyssey  (1968),"['Science Fiction', 'Mystery', 'Adventure']"
Tangerine  (2015),"['Comedy', 'Drama', 'Crime']"
Enter the Void (2009),"['Fantasy', 'Drama']"
Black Sheep  (1996),['Comedy']
Grown Ups  (2010),['Comedy']
Little Nicky (2000),"['Comedy', 'Fantasy']"
Creed  (2015),"['Action', 'Drama']"
