movieId,movieName,nbMentions,year
75796,Headhunter,1,2009
75815,Angels in the Outfield,6,1994
75822,Eddie and the Cruisers,1,1983
75828,Ninja Assassin,5,2009
75867,Orgazmo,3,1997
75881,Toy Story 2,26,1999
75903,A Star Is Born,2,1954
75918,Pretty in Pink,54,1986
75962,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1,
75968,An American Werewolf in Paris,3,1997
75981,The Golden Temple,1,2012
75984,Fool's Gold,9,2008
76012,The Exorcist,174,1973
76019,The War Bride,4,2001
76023,Flick,1,2008
76036,National Security,1,2012
76042,The Vow,28,2012
76067,Winter's Bone,3,2010
76069,Love Station,1,2016
76071,Fight Club – Members Only,1,2006
76102,IMurders,1,2008
76111,Pocahontas II: Journey to a New World,1,1998
76113,Just One of the Guys,1,1985
76130,Prince,1,1969
76137,Love Liza,1,2002
76143,Anomalisa,2,2015
76145,The Great Gatsby,1,1926
76160,Million Dollar Baby,30,2004
76170,Insidious: Chapter 3,2,2015
76171,The Mummy ,1,
76177,Ride Along 2,10,2016
76187,The Hills Have Eyes,10,2006
76195,Dirty Work,1,1998
76198,North Dallas Forty,2,1979
76279,Death at a Funeral,4,2007
76284,The Cowboys,2,1972
76325,My Scientology Movie,1,2015
76336,Blackhat,2,2015
76339,Hereafter,2,2010
76356,The Parent Trap,25,1998
76365,Anna and the King,2,1999
76391,Beware! The Blob,1,1972
76481,The Exorcist ,10,
76483,Brave,32,2012
76488,The Royal Scandal,1,
76508,Chloe,1,2009
76512,Mississippi Damned,1,2009
76519,Cloverfield,32,2008
76524,Okja,8,
76530,Killers,6,2010
76620,The Shaggy Dog,1,1959
76627,No Good Deed,2,2014
76636,Double Impact,2,1991
76639,First Kill,1,2017
76658,Torque,1,2004
76660,Batman: Revenge,3,2003
76706,The Incredible Hulk,35,2008
76724,Red Lines,1,2014
76746,All the Pretty Horses,1,2000
76757,Pinocchio,2,1940
76772,Ouija,7,2015
76781,White Men Can't Jump,6,1992
76802,Contagion,5,2011
76825,Death of a Ghost Hunter,1,2007
76829,The Sweetest Thing,9,2002
76845,Good Burger,2,
76847,Police Story 2,1,2007
76849,Veronica Mars,2,2014
76861,Project Almanac,1,2015
76887,One Piece Film: Strong World,1,2009
76935,First Sunday,2,2008
76940,Harry Potter and the Goblet of Fire,51,2005
77043,Uptown Saturday Night,2,1974
77045,Christmas in Love,1,2004
77066,Identity,45,2003
77115,Jack Reacher,31,2012
77128,Insidious ,8,
77136,Not Fade Away,3,2012
77140,The Living Daylights,2,1987
77141,The Lovely Bones,10,2009
77154,Flypaper,1,2011
77161,A Nightmare on Elm Street,164,1984
77176,Straight to Hell,1,1987
77190,Lethal Weapon 4,3,1998
77195,Bee Movie,8,2007
77216,Beethoven's 2nd,1,1993
77253,They Look Like People,2,2015
77267,Fighter in the Wind,1,2004
77293,A Wrinkle in Time ,184,
77306,Oklahoma,4,1979
77330,Cleopatra,1,1970
77352,Harold and Maude,1,1971
77358,Black Beauty,4,1994
77363,Encino Man,4,1992
77376,Full Metal Jacket,45,1987
77384,American Pie Presents: Band Camp,1,
77388,Shade,3,2003
77415,How the West Was Won,1,1962
77455,Citizen Kane,30,1941
77478,Yes,2,2004
77485,Contract,1,2008
77521,Triangle,1,2009
77542,Contact,10,1997
77552,"We, the Women",1,1953
77576,The Librarians,1,2001
77597,Along Came Polly,17,
77609,17 Again,5,2009
77610,Sky High,2,2003
77627,Abraham Lincoln: Vampire Hunter,3,2012
77628,Leprechaun,10,1993
77636,Fred,1,2014
77651,Peter Pan,3,2003
77666,The World's End,8,2013
77670,Star Trek Into Darkness,6,2013
77684,Indiana Jones and the Last Crusade,25,1989
77693,Wolf Creek,2,2005
77696,The Heist,1,2008
77697,White House Down,25,2013
77707,WALL-E,73,2008
77737,The Humanoid,2,1979
77747,National Treasure ,2,
77785,Ring 2,3,1999
77788,Clerks,20,1994
77793,Prom Night,4,1980
77798,A Perfect Murder,9,1998
77806,Stuck on You,3,2003
77818,Live Free or Die,4,2006
77866,In Good Company,1,2004
77867,The Ring,10,2017
77868,The Expendables ,3,
77888,Four Sisters and a Wedding,2,2013
77894,Cars 3,1,2009
77898,Spy Game,2,2001
77905,Fatal Bond,1,1992
77910,Strange Wilderness,1,2008
77918,War Room,7,2015
77925,Ong-Bak: Muay Thai Warrior,4,2003
77945,Akira,14,1988
77946,A Low Down Dirty Shame,1,1994
77983,Black Mass,13,2015
77986,The First Power,1,1990
78010,Death Wish,9,1974
78019,Kagemusha,7,1980
78035,The Double Life of Veronique,1,1991
78058,Wish I Was Here,1,2014
78062,Robin Hood,2,1991
78076,Ed Wood,1,1994
78099,Wood Love,1,1925
78108,Enemy,1,2015
78132,Joe Dirt 2: Beautiful Loser,5,2015
78154,Chiko,1,2008
78168,Willy Wonka & the Chocolate Factory,35,1971
78172,The Terminal,11,2004
78186,Scary Movie,98,2000
78201,Texas Chainsaw 3D,19,2013
78207,Run Fatboy Run,3,2007
78233,The Producers,3,2005
78241,Halloweentown ,2,
78267,The Room,16,2003
78326,Billy Elliot,1,2000
78340,Deadpool,447,2016
78343,The Ghost and the Darkness,2,1996
78352,Burglar,1,1987
78354,Soylent Green,2,1973
78361,Holy Water,1,2009
78373,Percy Jackson ,1,
78399,Houseful,2,2009
78418,The Avengers,443,2012
78426,Twisted,5,2004
78436,Battlefield Earth,3,2000
78445,Valentine,1,2001
78453,Paprika,5,2006
78475,Kingdom of Heaven,10,2005
78479,Murder in the First,1,1995
78480,The Green Mile,58,1999
78491,Over the Top,3,1987
78504,Superman II,4,1980
78510,The Slammin' Salmon,3,2009
78531,The Return of the Pink Panther,3,1975
78559,Much Ado About Nothing,3,1993
78562,A Time to Kill,9,1996
78566,The Incredible Invasion,1,1971
78634,The Host,13,2013
