movie,genres
The Triplets of Belleville (2003),"['Animation', 'Comedy', 'Drama']"
Waking Life (2001),"['Animation', 'Drama', 'Fantasy']"
Mary and Max (2009),"['Animation', 'Comedy', 'Drama']"
The Boss Baby (2017),"['Animation', 'Comedy', 'Family']"
A Scanner Darkly  (2006),"['Animation', 'Science Fiction', 'Thriller']"
Final Fantasy: The Spirits Within (2001),"['Adventure', 'Action', 'Fantasy', 'Science Fiction', 'Thriller', 'Romance', 'Animation']"
Scarface  (1983),"['Action', 'Crime', 'Drama']"
The Godfather ,"['Drama', 'Crime']"
Star Wars,"['Adventure', 'Action', 'Science Fiction']"
From Dusk till Dawn (1996),"['Horror', 'Action', 'Thriller', 'Crime']"
Twilight Zone: The Movie (1983),"['Horror', 'Fantasy', 'Science Fiction']"
Enemy of the State  (1998),"['Action', 'Drama', 'Thriller']"
Avatar ,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Avatar  (2009),"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
The Martian  (2015),"['Drama', 'Adventure', 'Science Fiction']"
Contact  (2009),"['History', 'Documentary']"
Donnie Darko (2001),"['Fantasy', 'Drama', 'Mystery']"
Indiana Jones and the Kingdom of the Crystal Skull (2008),"['Adventure', 'Action']"
50 First Dates (2004),"['Comedy', 'Romance']"
The Wedding Singer (1998),"['Romance', 'Comedy']"
Charlie's Angels ,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
Blended  (2014),"['Comedy', 'Romance']"
Ever After (1998),"['Horror', 'Fantasy']"
Get Out (2017),"['Mystery', 'Thriller', 'Horror']"
Annabelle  (2014),['Horror']
Girls Trip (2017),['Comedy']
Fast & Furious  (2009),"['Action', 'Crime', 'Drama', 'Thriller']"
Wonder Woman  (2017),"['Action', 'Adventure', 'Fantasy']"
Spider-Man: Homecoming (2017),"['Action', 'Adventure', 'Science Fiction', 'Drama']"
47 Meters Down (2017),"['Thriller', 'Adventure', 'Horror']"
Happy Death Day  (2017),"['Horror', 'Mystery', 'Comedy', 'Thriller']"
Justice League  (2017),"['Action', 'Adventure', 'Science Fiction']"
The Princess Bride  (1987),"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']"
The Wolf of Wall Street  (1929),['Drama']
Blow  (2001),"['Crime', 'Drama']"
The Wolf of Wall Street  (2013),"['Crime', 'Drama', 'Comedy']"
The Sixth Sense (1999),"['Mystery', 'Thriller', 'Drama']"
The Shining  (1980),"['Horror', 'Thriller']"
Misery  (1990),"['Drama', 'Thriller']"
Secret Window (2004),"['Mystery', 'Thriller']"
Pulp Fiction (1994),"['Thriller', 'Crime']"
Hell or High Water  (2016),"['Western', 'Crime', 'Drama']"
Daddy's Home  (2015),['Comedy']
Far and Away (1992),"['Adventure', 'Drama', 'Romance', 'Western']"
Concussion  (2015),['Drama']
Jerry Maguire (1996),"['Comedy', 'Drama', 'Romance']"
Juno (2007),"['Comedy', 'Drama', 'Romance']"
The Perks of Being a Wallflower ,['Drama']
Bad Moms (2016),['Comedy']
Neighbors  (2014),['Comedy']
On Golden Pond  (1981),"['Drama', 'Romance']"
Saw  (2004),"['Horror', 'Mystery', 'Crime']"
Psycho ,"['Horror', 'Thriller', 'Mystery']"
Philadelphia  (1993),['Drama']
Erin Brockovich  (2000),['Drama']
Rushmore  (1998),"['Comedy', 'Drama']"
One Fine Day  (1996),"['Romance', 'Comedy']"
Signs  (2008),['Romance']
The Breakfast Club (1985),"['Comedy', 'Drama']"
The Blair Witch Project (1999),"['Horror', 'Mystery']"
The Birds  (1963),['Horror']
"Planes, Trains and Automobiles (1986)",['Comedy']
Star Trek: Of Gods and Men,['Science Fiction']
Central Intelligence (2016),"['Action', 'Comedy', 'Crime', 'Mystery']"
Ride Along 2 (2016),"['Action', 'Comedy']"
Ride Along  (2014),"['Action', 'Comedy']"
Blue Streak  (1999),"['Action', 'Comedy', 'Crime']"
Bulletproof  (1996),"['Comedy', 'Crime', 'Action']"
Risky Business  (1939),"['Crime', 'Drama']"
Avatar  (2004),"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
E.T. the Extra-Terrestrial (1982),"['Science Fiction', 'Adventure', 'Family', 'Fantasy']"
Dunkirk  (1958),"['Drama', 'War']"
Scary Movie (2000),['Comedy']
Monty Python and the Holy Grail (1975),"['Adventure', 'Comedy', 'Fantasy']"
Bernie  (2011),"['Comedy', 'Crime', 'Drama']"
I Love You Phillip Morris (2009),"['Comedy', 'Crime', 'Drama', 'Romance']"
Airplane! (1980),['Comedy']
Caddyshack (1980),['Comedy']
Stripes  (1981),"['Action', 'Comedy']"
Happy Gilmore (1996),['Comedy']
Mission: Impossible  (1996),"['Adventure', 'Action', 'Thriller']"
Jack Reacher: Never Go Back (2016),"['Action', 'Thriller']"
This Means War  (2012),"['Action', 'Comedy', 'Romance']"
Cocktail  (1988),"['Romance', 'Drama', 'Comedy']"
Unbreakable  (2000),"['Thriller', 'Drama', 'Mystery']"
The Number 23 (2007),"['Thriller', 'Mystery', 'Crime']"
The BFG  (2016),"['Adventure', 'Family', 'Fantasy']"
Minority Report  (2002),"['Science Fiction', 'Action', 'Thriller']"
Bride Wars  (2015),"['Comedy', 'Romance']"
Spaceballs (1987),"['Comedy', 'Science Fiction']"
Office Christmas Party (2016),['Comedy']
Yes Man  (2008),"['Comedy', 'Romance']"
Night of the Living Dead (1968),"['Horror', 'Thriller', 'Science Fiction']"
Get Hard (2015),['Comedy']
Not Another Teen Movie (2001),['Comedy']
Little Man  (2006),"['Comedy', 'Crime']"
Goodfellas (1990),"['Drama', 'Crime']"
Super Troopers (2001),"['Comedy', 'Crime', 'Mystery']"
The Hangover Part II (2011),['Comedy']
Savages  (2012),"['Crime', 'Drama', 'Thriller']"
Down and Out in Beverly Hills (1986),['Comedy']
It  (2017),['Horror']
The Silence of the Lambs  (1991),"['Crime', 'Drama', 'Thriller']"
Halloween  (2007),['Horror']
Curse of Chucky (2013),"['Horror', 'Thriller']"
Halloween: Resurrection (2002),"['Horror', 'Thriller']"
Child's Play  (1988),['Horror']
The Conjuring (2013),"['Horror', 'Thriller']"
Dolls  (1987),"['Fantasy', 'Horror']"
Legally Blonde (2001),"['Comedy', 'Romance']"
The Big Lebowski,"['Comedy', 'Crime']"
Fargo  (1996),"['Crime', 'Drama', 'Thriller']"
Barton Fink (1991),"['Comedy', 'Drama']"
Soul Surfer  (2011),"['Family', 'Drama']"
The Texas Chain Saw Massacre (1974),['Horror']
Remember the Titans (2000),['Drama']
Blue Crush (2002),"['Adventure', 'Romance', 'Drama']"
Beerfest (2006),['Comedy']
Big Fish (2003),"['Adventure', 'Fantasy', 'Drama']"
Club Dread (2004),"['Comedy', 'Horror']"
Pan's Labyrinth (2006),"['Fantasy', 'Drama', 'War']"
A Nightmare on Elm Street (1984),['Horror']
Strangers on a Train  (1951),"['Crime', 'Thriller']"
West Side Story  (1961),"['Crime', 'Drama', 'Romance']"
The Rocky Horror Picture Show (1975),"['Comedy', 'Science Fiction', 'Fantasy', 'Horror']"
La La Land  (2016),"['Comedy', 'Drama', 'Romance', 'Music']"
Hairspray  (2007),"['Comedy', 'Romance', 'Drama']"
Step Brothers  (2008),['Comedy']
The Other Guys (2010),"['Action', 'Comedy', 'Crime']"
Beverly Hills Cop (1984),"['Action', 'Comedy', 'Crime']"
Coming to America (1988),"['Comedy', 'Romance']"
Nutty Professor II: The Klumps (2000),"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']"
Sweeney Todd: The Demon Barber of Fleet Street  (2007),"['Drama', 'Horror']"
Chicago 10  (2007),"['Documentary', 'Animation', 'History', 'War']"
Chicago  (2002),"['Comedy', 'Crime', 'Drama']"
White Christmas  (1954),"['Comedy', 'Music', 'Romance']"
Mamma Mia!  (2008),"['Comedy', 'Romance']"
Unfaithful  (2002),"['Thriller', 'Drama']"
A Nightmare on Elm Street  (2010),"['Horror', 'Mystery', 'Thriller']"
Candyman  (1992),"['Drama', 'Horror', 'Thriller']"
Candyman: Farewell to the Flesh (1995),"['Horror', 'Thriller']"
Kiss the Girls  (1997),"['Thriller', 'Crime', 'Mystery', 'Drama']"
Stargate  (1994),"['Action', 'Adventure', 'Science Fiction']"
Star Trek: First Contact (1996),"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Sling Blade (1996),['Drama']
The Alamo  (2004),"['History', 'War', 'Drama']"
Bad Santa 2 (2016),"['Comedy', 'Crime', 'Drama', 'Mystery']"
Mr. Woodcock (2007),"['Comedy', 'Romance']"
School for Scoundrels  (2006),"['Comedy', 'Romance']"
The Arrival  (1991),"['Science Fiction', 'Action', 'Horror']"
Arrival  (2016),"['Drama', 'Science Fiction', 'Mystery']"
Green Lantern  (2011),"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Interstellar  (2014),"['Adventure', 'Drama', 'Science Fiction']"
John Wick: Chapter 2 (2017),"['Action', 'Thriller', 'Crime']"
Les Misérables  (2012),"['History', 'Drama']"
Cop Out  (2010),"['Action', 'Comedy', 'Crime']"
Anchorman 2: The Legend Continues (2013),['Comedy']
The Babadook (2014),"['Drama', 'Horror']"
Bad Santa (2003),"['Drama', 'Comedy', 'Crime']"
Blades of Glory (2007),['Comedy']
Horrible Bosses (2011),"['Comedy', 'Crime']"
Baywatch  (2017),"['Comedy', 'Action', 'Crime']"
Insidious: The Last Key (2018),"['Horror', 'Mystery', 'Thriller']"
Thor: Ragnarok (2017),"['Action', 'Adventure', 'Science Fiction']"
Murder on the Orient Express  (2001),"['Crime', 'Drama', 'Thriller', 'TV Movie']"
Geostorm (2017),"['Action', 'Science Fiction', 'Thriller']"
Primal Fear  (1996),"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Lincoln Lawyer ,"['Crime', 'Drama', 'Thriller']"
Hannibal Rising  (2007),"['Crime', 'Drama', 'Thriller', 'Horror']"
Manhunter  (1986),"['Crime', 'Horror', 'Thriller']"
Red Dragon  (2002),"['Crime', 'Thriller', 'Horror']"
Psycho III (1986),"['Horror', 'Thriller']"
Terminator 2: Judgment Day (1991),"['Action', 'Thriller', 'Science Fiction']"
Aliens  (1986),"['Action', 'Thriller', 'Science Fiction']"
Prometheus  (2012),"['Science Fiction', 'Adventure', 'Mystery']"
Alien: Covenant (2017),"['Science Fiction', 'Horror', 'Mystery']"
Jurassic Park  (1993),"['Adventure', 'Science Fiction']"
Jaws  (1975),"['Horror', 'Thriller', 'Adventure']"
Avengers: Age of Ultron (2015),"['Action', 'Adventure', 'Science Fiction']"
Iron Man  (2008),"['Action', 'Science Fiction', 'Adventure']"
Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']"
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']"
War for the Planet of the Apes (2017),"['Drama', 'Science Fiction', 'War']"
The Devil's Rejects (2005),"['Drama', 'Horror', 'Crime']"
What Lies Beneath (2000),"['Drama', 'Horror', 'Mystery', 'Thriller']"
Indiana Jones and the Temple of Doom (1984),"['Adventure', 'Action']"
You've Got Mail (1998),"['Comedy', 'Romance']"
The Goonies (1985),"['Adventure', 'Comedy', 'Family']"
Kick-Ass ,"['Action', 'Crime']"
The Avengers  (2012),"['Science Fiction', 'Action', 'Adventure']"
Deadpool  (2016),"['Action', 'Adventure', 'Comedy']"
Just Friends (2005),"['Comedy', 'Romance']"
Friends with Benefits  (2011),"['Romance', 'Comedy']"
Just Go with It (2011),"['Comedy', 'Romance']"
Summer Holiday  (1963),"['Music', 'Romance']"
Holiday Inn  (1942),"['Comedy', 'Drama', 'Romance']"
Garden State  (2004),"['Comedy', 'Drama', 'Romance']"
Dazed and Confused  (1993),"['Comedy', 'Drama']"
Seven Brides for Seven Brothers (1954),"['Comedy', 'Drama', 'Western']"
It's a Wonderful Life (1946),"['Drama', 'Family', 'Fantasy']"
Carousel  (1956),"['Music', 'Romance']"
It Happened at the World's Fair (1963),"['Comedy', 'Music', 'Romance']"
Fred Claus (2007),"['Action', 'Comedy', 'Drama']"
Christmas with the Kranks (2004),"['Comedy', 'Family']"
Bridesmaids  (2011),"['Comedy', 'Romance']"
Wedding Crashers (2005),"['Comedy', 'Romance']"
A Perfect Murder (1998),"['Crime', 'Thriller', 'Drama']"
Twilight  (2008),"['Fantasy', 'Drama', 'Romance']"
Fatal Attraction (1987),"['Thriller', 'Drama']"
Don't Say a Word (2001),"['Thriller', 'Mystery']"
Friday  (1995),['Comedy']
The Fisher King (1991),"['Comedy', 'Drama']"
Fletch  (1985),"['Comedy', 'Crime', 'Mystery']"
Groundhog Day  (1993),"['Romance', 'Fantasy', 'Drama', 'Comedy']"
Rock of Ages  (2012),"['Comedy', 'Drama', 'Music', 'Romance']"
Forrest Gump (1994),"['Comedy', 'Drama', 'Romance']"
School of Rock (2003),"['Comedy', 'Music']"
Tenacious D in The Pick of Destiny (2006),"['Comedy', 'Music']"
Pet Sematary  (1989),"['Horror', 'Drama']"
Conjuring ,[]
Stand by Me  (1986),"['Crime', 'Drama']"
Jumanji  (2017),"['Adventure', 'Fantasy', 'Family']"
Guardians of the Galaxy  (2014),"['Action', 'Science Fiction', 'Adventure']"
The Sweetest Thing (2002),"['Romance', 'Comedy']"
Four Weddings and a Funeral (1994),"['Comedy', 'Drama', 'Romance']"
Failure to Launch (2006),"['Comedy', 'Romance']"
EDtv (1999),['Comedy']
How to Lose a Guy in 10 Days (2003),"['Comedy', 'Romance']"
10 Things I Hate About You (1999),"['Comedy', 'Romance', 'Drama']"
The Devil Wears Prada  (2006),"['Drama', 'Comedy']"
R.I.P.D. (2013),"['Fantasy', 'Action', 'Comedy']"
Treasure Planet (2002),"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']"
Up  (2009),"['Animation', 'Comedy', 'Family', 'Adventure']"
Alien 2: On Earth (1980),"['Horror', 'Science Fiction']"
Return of Sabata,['Western']
A Kid for Two Farthings  (1955),"['Drama', 'Comedy']"
Frequency  (2000),"['Science Fiction', 'Thriller']"
Joy Ride  (2000),['Drama']
Night Train  (2009),"['Thriller', 'Crime', 'Horror']"
The Abyss (1989),"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Blob  (1988),"['Horror', 'Science Fiction']"
The Blob (1958),"['Horror', 'Science Fiction']"
Reservoir Dogs (1992),"['Crime', 'Thriller']"
The Usual Suspects (1995),"['Drama', 'Crime', 'Thriller']"
